2025-04-22 22:32:01,509 Train started...
2025-04-22 22:32:01,516 Loading checkpoint: 16, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn_256_l4/checkpoint_epoch_16.pth
2025-04-22 22:32:02,322 Training will continue from epoch: 16/80
Trainable parameters: 1,388,548
batch 500, time:0.536, loss: 62.4890, mean_absolute_error: 2.3100
batch 600, time:0.552, loss: 42.2314, mean_absolute_error: 2.4809
batch 700, time:0.535, loss: 71.8296, mean_absolute_error: 3.0216
batch 800, time:0.558, loss: 38.5241, mean_absolute_error: 2.1903
batch 900, time:0.531, loss: 55.5690, mean_absolute_error: 2.5206
batch 1000, time:0.549, loss: 50.0101, mean_absolute_error: 2.4656
batch 1100, time:0.541, loss: 73.3942, mean_absolute_error: 3.2566
batch 1200, time:0.544, loss: 43.1930, mean_absolute_error: 2.3206
batch 1300, time:0.543, loss: 39.4147, mean_absolute_error: 2.3713
batch 1400, time:0.542, loss: 37.4356, mean_absolute_error: 2.1435
batch 1500, time:0.524, loss: 58.9995, mean_absolute_error: 2.6285
batch 1600, time:0.551, loss: 45.7232, mean_absolute_error: 2.5172
batch 1700, time:0.545, loss: 60.3308, mean_absolute_error: 2.6114
batch 1800, time:0.544, loss: 34.2606, mean_absolute_error: 2.3304
batch 1900, time:0.537, loss: 56.9785, mean_absolute_error: 2.5873
batch 2000, time:0.548, loss: 43.1940, mean_absolute_error: 2.3072
batch 2100, time:0.545, loss: 40.0998, mean_absolute_error: 2.2811
batch 2200, time:0.551, loss: 53.0979, mean_absolute_error: 2.5956
batch 2300, time:0.525, loss: 40.8292, mean_absolute_error: 2.3137
batch 2400, time:0.545, loss: 56.3738, mean_absolute_error: 2.5846
batch 2500, time:0.549, loss: 36.9029, mean_absolute_error: 2.2363
batch 2600, time:0.547, loss: 44.8265, mean_absolute_error: 2.4085
batch 2700, time:0.537, loss: 69.1049, mean_absolute_error: 2.7648
batch 2800, time:0.538, loss: 66.0946, mean_absolute_error: 2.8924
batch 2900, time:0.546, loss: 40.3452, mean_absolute_error: 2.2506
batch 3000, time:0.532, loss: 60.1478, mean_absolute_error: 2.7562
batch 3100, time:0.540, loss: 65.9370, mean_absolute_error: 3.0658
batch 3200, time:0.548, loss: 49.4941, mean_absolute_error: 2.6796
batch 3300, time:0.539, loss: 44.2080, mean_absolute_error: 2.3975
batch 3400, time:0.544, loss: 41.4875, mean_absolute_error: 2.3107
batch 3500, time:0.525, loss: 50.9130, mean_absolute_error: 2.4383
batch 3600, time:0.531, loss: 46.0153, mean_absolute_error: 2.3680
batch 3700, time:0.551, loss: 41.4507, mean_absolute_error: 2.3176
batch 3800, time:0.544, loss: 57.6642, mean_absolute_error: 2.7280
batch 3900, time:0.539, loss: 46.7707, mean_absolute_error: 2.3872
batch 4000, time:0.543, loss: 51.5874, mean_absolute_error: 2.5761
batch 4100, time:0.547, loss: 53.5872, mean_absolute_error: 2.6396
batch 4200, time:0.543, loss: 40.2285, mean_absolute_error: 2.2060
batch 4300, time:0.535, loss: 54.3167, mean_absolute_error: 2.4182
batch 4400, time:0.543, loss: 35.6511, mean_absolute_error: 2.2805
batch 4500, time:0.545, loss: 47.7186, mean_absolute_error: 2.3795
batch 4600, time:0.538, loss: 57.9808, mean_absolute_error: 2.6793
batch 4700, time:0.535, loss: 50.8126, mean_absolute_error: 2.2715
batch 4800, time:0.546, loss: 111.6167, mean_absolute_error: 3.5399
batch 4900, time:0.533, loss: 57.6861, mean_absolute_error: 2.5542
batch 5000, time:0.553, loss: 52.5605, mean_absolute_error: 2.5432
batch 5100, time:0.552, loss: 40.0690, mean_absolute_error: 2.4020
batch 5200, time:0.531, loss: 32.8315, mean_absolute_error: 2.1843
batch 5300, time:0.547, loss: 63.0245, mean_absolute_error: 2.8867
batch 5400, time:0.542, loss: 106.0099, mean_absolute_error: 3.1048
batch 5500, time:0.542, loss: 69.9088, mean_absolute_error: 3.0736
batch 5600, time:0.530, loss: 39.5727, mean_absolute_error: 2.3424
batch 5700, time:0.537, loss: 51.2782, mean_absolute_error: 2.6530
019/80:  time: 5648.482 loss: 54.3744  mean_absolute_error: 2.5633,  val_loss: 54.4357,  val_mean_absolute_error: 2.4900
batch 100, time:0.546, loss: 51.2881, mean_absolute_error: 2.5883
batch 200, time:0.534, loss: 69.5345, mean_absolute_error: 2.7792
batch 300, time:0.536, loss: 77.2226, mean_absolute_error: 2.8704
batch 400, time:0.526, loss: 51.8633, mean_absolute_error: 2.4971
batch 500, time:0.549, loss: 56.6566, mean_absolute_error: 2.4689
batch 600, time:0.542, loss: 56.8674, mean_absolute_error: 2.5298
batch 700, time:0.543, loss: 52.5481, mean_absolute_error: 2.5102
batch 800, time:0.542, loss: 42.7398, mean_absolute_error: 2.2880
batch 900, time:0.541, loss: 41.3270, mean_absolute_error: 2.3871
batch 1000, time:0.552, loss: 45.1974, mean_absolute_error: 2.4498
batch 1100, time:0.534, loss: 46.0028, mean_absolute_error: 2.4561
batch 1200, time:0.545, loss: 54.2919, mean_absolute_error: 2.5281
batch 1300, time:0.535, loss: 45.0887, mean_absolute_error: 2.4141
batch 1400, time:0.544, loss: 56.2778, mean_absolute_error: 2.6181
batch 1500, time:0.545, loss: 48.8782, mean_absolute_error: 2.6167
batch 1600, time:0.549, loss: 52.6530, mean_absolute_error: 2.5490
batch 1700, time:0.536, loss: 47.7614, mean_absolute_error: 2.6673
batch 1800, time:0.545, loss: 42.1504, mean_absolute_error: 2.3325
batch 1900, time:0.548, loss: 54.4100, mean_absolute_error: 2.9038
batch 2000, time:0.527, loss: 57.6821, mean_absolute_error: 2.7171
batch 2100, time:0.544, loss: 60.0723, mean_absolute_error: 2.6683
batch 2200, time:0.530, loss: 60.9077, mean_absolute_error: 2.5416
batch 2300, time:0.526, loss: 50.5497, mean_absolute_error: 2.5158
batch 2400, time:0.549, loss: 54.3640, mean_absolute_error: 2.7283
batch 2500, time:0.531, loss: 52.6551, mean_absolute_error: 2.6265
batch 2600, time:0.538, loss: 50.7472, mean_absolute_error: 2.5391
batch 2700, time:0.533, loss: 62.7616, mean_absolute_error: 2.6887
batch 2800, time:0.545, loss: 90.6242, mean_absolute_error: 3.1138
batch 2900, time:0.536, loss: 42.8169, mean_absolute_error: 2.5299
batch 3000, time:0.542, loss: 63.3498, mean_absolute_error: 2.6385
batch 3100, time:0.534, loss: 50.1514, mean_absolute_error: 2.4675
batch 3200, time:0.546, loss: 66.2090, mean_absolute_error: 3.0126
batch 3300, time:0.548, loss: 38.2889, mean_absolute_error: 2.4037
batch 3400, time:0.534, loss: 63.7359, mean_absolute_error: 2.4808
batch 3500, time:0.549, loss: 44.3825, mean_absolute_error: 2.4201
batch 3600, time:0.552, loss: 54.8322, mean_absolute_error: 2.4982
batch 3700, time:0.537, loss: 52.5718, mean_absolute_error: 2.4953
batch 3800, time:0.549, loss: 45.1053, mean_absolute_error: 2.2461
batch 3900, time:0.540, loss: 47.6127, mean_absolute_error: 2.3786
batch 4000, time:0.551, loss: 39.8806, mean_absolute_error: 2.2635
batch 4100, time:0.546, loss: 60.1129, mean_absolute_error: 2.5711
batch 4200, time:0.539, loss: 53.5490, mean_absolute_error: 2.8458
batch 4300, time:0.530, loss: 44.9404, mean_absolute_error: 2.3613
batch 4400, time:0.538, loss: 44.0513, mean_absolute_error: 2.4966
batch 4500, time:0.544, loss: 54.9091, mean_absolute_error: 2.5720
batch 4600, time:0.535, loss: 40.0341, mean_absolute_error: 2.4069
batch 4700, time:0.536, loss: 75.1265, mean_absolute_error: 2.9783
batch 4800, time:0.536, loss: 56.2478, mean_absolute_error: 2.4236
batch 4900, time:0.538, loss: 55.3386, mean_absolute_error: 2.4934
batch 5000, time:0.536, loss: 68.8462, mean_absolute_error: 2.8811
batch 5100, time:0.532, loss: 38.2803, mean_absolute_error: 2.1929
batch 5200, time:0.539, loss: 44.6258, mean_absolute_error: 2.6246
batch 5300, time:0.545, loss: 37.1507, mean_absolute_error: 1.9963
batch 5400, time:0.534, loss: 86.4000, mean_absolute_error: 2.8997
batch 5500, time:0.531, loss: 50.4029, mean_absolute_error: 2.5594
batch 5600, time:0.544, loss: 60.3856, mean_absolute_error: 2.6559
batch 5700, time:0.547, loss: 40.8233, mean_absolute_error: 2.4061
020/80:  time: 5641.825 loss: 54.4221  mean_absolute_error: 2.5700,  val_loss: 55.4640,  val_mean_absolute_error: 2.5592
batch 100, time:0.538, loss: 40.0122, mean_absolute_error: 2.4842
batch 200, time:0.539, loss: 78.9275, mean_absolute_error: 2.7157
batch 300, time:0.550, loss: 49.5931, mean_absolute_error: 2.5511
batch 400, time:0.557, loss: 75.3909, mean_absolute_error: 2.8882
batch 500, time:0.536, loss: 32.9014, mean_absolute_error: 2.0480
batch 600, time:0.544, loss: 34.1339, mean_absolute_error: 2.1854
batch 700, time:0.531, loss: 42.1442, mean_absolute_error: 2.5306
batch 800, time:0.551, loss: 49.8549, mean_absolute_error: 2.4843
batch 900, time:0.508, loss: 74.8367, mean_absolute_error: 2.5692
batch 1000, time:0.540, loss: 59.0277, mean_absolute_error: 2.3116
batch 1100, time:0.542, loss: 60.1978, mean_absolute_error: 2.7551
batch 1200, time:0.541, loss: 45.0730, mean_absolute_error: 2.3398
batch 1300, time:0.549, loss: 81.3318, mean_absolute_error: 3.0864
batch 1400, time:0.544, loss: 39.4445, mean_absolute_error: 2.2354
batch 1500, time:0.536, loss: 36.4070, mean_absolute_error: 2.3745
batch 1600, time:0.543, loss: 53.8344, mean_absolute_error: 2.4756
batch 1700, time:0.548, loss: 48.4984, mean_absolute_error: 2.5422
batch 1800, time:0.528, loss: 40.7693, mean_absolute_error: 2.2850
batch 1900, time:0.541, loss: 66.9876, mean_absolute_error: 2.5783
batch 2000, time:0.534, loss: 51.9420, mean_absolute_error: 2.6534
batch 2100, time:0.535, loss: 40.6012, mean_absolute_error: 2.2335
batch 2200, time:0.542, loss: 36.9863, mean_absolute_error: 2.3941
batch 2300, time:0.533, loss: 54.3224, mean_absolute_error: 2.7209
batch 2400, time:0.541, loss: 60.7893, mean_absolute_error: 2.5791
batch 2500, time:0.534, loss: 80.9105, mean_absolute_error: 3.1622
batch 2600, time:0.543, loss: 71.0088, mean_absolute_error: 2.8198
