
2025-04-18 13:09:29,017 Train started...
Trainable parameters: 1,388,548
batch 2700, time:0.147, loss: 395.5688, mean_absolute_error: 7.2900
batch 2800, time:0.144, loss: 436.2882, mean_absolute_error: 7.5904
005/30:  time: 1327.916 loss: 457.5457  mean_absolute_error: 7.5378,  val_loss: 462.6449,  val_mean_absolute_error: 7.6058
batch 100, time:0.111, loss: 415.0621, mean_absolute_error: 7.4862
batch 200, time:0.140, loss: 422.0586, mean_absolute_error: 7.1277
batch 300, time:0.145, loss: 454.8821, mean_absolute_error: 7.8034
batch 400, time:0.150, loss: 417.5748, mean_absolute_error: 7.0587
batch 500, time:0.133, loss: 520.7371, mean_absolute_error: 7.7453
batch 600, time:0.140, loss: 501.8715, mean_absolute_error: 7.6799
batch 700, time:0.143, loss: 515.0561, mean_absolute_error: 7.7595
batch 800, time:0.139, loss: 415.6712, mean_absolute_error: 7.2437
batch 900, time:0.123, loss: 437.1960, mean_absolute_error: 7.2727
batch 1000, time:0.146, loss: 417.6008, mean_absolute_error: 6.9092
batch 1100, time:0.131, loss: 448.4417, mean_absolute_error: 7.2868
batch 1200, time:0.148, loss: 412.6165, mean_absolute_error: 7.1106
batch 1300, time:0.125, loss: 558.0064, mean_absolute_error: 7.9874
batch 1400, time:0.143, loss: 453.0138, mean_absolute_error: 7.8884
batch 1500, time:0.132, loss: 401.7798, mean_absolute_error: 7.2307
batch 1600, time:0.130, loss: 439.2251, mean_absolute_error: 7.4016
batch 1700, time:0.143, loss: 381.2205, mean_absolute_error: 6.8206
batch 1800, time:0.103, loss: 448.0041, mean_absolute_error: 7.2461
batch 1900, time:0.116, loss: 372.8933, mean_absolute_error: 6.7008
batch 2000, time:0.149, loss: 502.8707, mean_absolute_error: 7.9703
batch 2100, time:0.129, loss: 444.4404, mean_absolute_error: 7.6404
batch 2200, time:0.133, loss: 449.5165, mean_absolute_error: 7.6278
batch 2300, time:0.133, loss: 543.0359, mean_absolute_error: 7.5834
batch 2400, time:0.157, loss: 430.6516, mean_absolute_error: 7.4057
batch 2500, time:0.104, loss: 509.5534, mean_absolute_error: 8.2512
batch 2600, time:0.145, loss: 347.3442, mean_absolute_error: 6.7676
batch 2700, time:0.136, loss: 474.4919, mean_absolute_error: 7.3156
batch 2800, time:0.138, loss: 552.1348, mean_absolute_error: 7.7900
006/30:  time: 1319.169 loss: 454.2832  mean_absolute_error: 7.4513,  val_loss: 465.9134,  val_mean_absolute_error: 7.4343
batch 100, time:0.135, loss: 451.4084, mean_absolute_error: 7.6906
batch 200, time:0.140, loss: 476.4552, mean_absolute_error: 7.4435
batch 300, time:0.126, loss: 463.0068, mean_absolute_error: 7.2689
batch 400, time:0.138, loss: 475.8267, mean_absolute_error: 7.4740
batch 500, time:0.142, loss: 545.9055, mean_absolute_error: 7.8836
batch 600, time:0.140, loss: 413.8880, mean_absolute_error: 7.1709
batch 700, time:0.126, loss: 441.9016, mean_absolute_error: 7.3746
batch 800, time:0.133, loss: 391.5884, mean_absolute_error: 7.0190
batch 900, time:0.126, loss: 449.8436, mean_absolute_error: 7.4258
batch 1000, time:0.140, loss: 454.3600, mean_absolute_error: 7.5444
batch 1100, time:0.159, loss: 424.2379, mean_absolute_error: 7.2456
batch 1200, time:0.126, loss: 485.0240, mean_absolute_error: 8.0062
batch 1300, time:0.148, loss: 422.8177, mean_absolute_error: 7.3111
batch 1400, time:0.141, loss: 440.7291, mean_absolute_error: 7.2627
batch 1500, time:0.143, loss: 393.3839, mean_absolute_error: 6.9278
batch 1600, time:0.144, loss: 464.2196, mean_absolute_error: 7.3660
batch 1700, time:0.144, loss: 428.6490, mean_absolute_error: 7.3444
batch 1800, time:0.149, loss: 510.6648, mean_absolute_error: 7.8705
batch 1900, time:0.149, loss: 394.3384, mean_absolute_error: 7.0845
batch 2000, time:0.153, loss: 425.8451, mean_absolute_error: 7.1480
batch 2100, time:0.136, loss: 532.5670, mean_absolute_error: 7.8619
batch 2200, time:0.122, loss: 497.2578, mean_absolute_error: 7.7945
batch 2300, time:0.145, loss: 399.8280, mean_absolute_error: 7.2317
batch 2400, time:0.140, loss: 462.9067, mean_absolute_error: 7.5201
batch 2500, time:0.160, loss: 432.2100, mean_absolute_error: 7.2729
batch 2600, time:0.144, loss: 491.8327, mean_absolute_error: 7.6809
batch 2700, time:0.146, loss: 415.3770, mean_absolute_error: 7.3490
batch 2800, time:0.137, loss: 498.0569, mean_absolute_error: 7.9621
007/30:  time: 1290.862 loss: 449.8018  mean_absolute_error: 7.3910,  val_loss: 457.1812,  val_mean_absolute_error: 7.4006
batch 100, time:0.149, loss: 397.1305, mean_absolute_error: 7.1928
batch 200, time:0.145, loss: 414.0973, mean_absolute_error: 7.2509
batch 300, time:0.144, loss: 467.3439, mean_absolute_error: 7.6980
batch 400, time:0.133, loss: 448.8280, mean_absolute_error: 7.5433
batch 500, time:0.141, loss: 370.0525, mean_absolute_error: 6.4542
batch 600, time:0.143, loss: 359.8113, mean_absolute_error: 6.8871
batch 700, time:0.160, loss: 556.9255, mean_absolute_error: 8.1091
batch 800, time:0.146, loss: 389.8749, mean_absolute_error: 6.7374
batch 900, time:0.145, loss: 420.9524, mean_absolute_error: 6.9400
batch 1000, time:0.145, loss: 409.1473, mean_absolute_error: 7.0798
batch 1100, time:0.144, loss: 610.0573, mean_absolute_error: 8.0162
batch 1200, time:0.129, loss: 346.1519, mean_absolute_error: 6.6492
batch 1300, time:0.139, loss: 468.3523, mean_absolute_error: 7.4252
batch 1400, time:0.151, loss: 381.1839, mean_absolute_error: 7.1260
batch 1500, time:0.126, loss: 409.6722, mean_absolute_error: 7.1267
batch 1600, time:0.140, loss: 430.3253, mean_absolute_error: 7.3331
batch 1700, time:0.146, loss: 490.4200, mean_absolute_error: 7.6954
batch 1800, time:0.150, loss: 510.2627, mean_absolute_error: 7.4786
batch 1900, time:0.138, loss: 473.2755, mean_absolute_error: 7.1905
batch 2000, time:0.145, loss: 349.4224, mean_absolute_error: 6.6672
batch 2100, time:0.157, loss: 471.9943, mean_absolute_error: 7.3406
batch 2200, time:0.140, loss: 469.2894, mean_absolute_error: 7.3898
batch 2300, time:0.146, loss: 428.5448, mean_absolute_error: 7.2355
batch 2400, time:0.139, loss: 497.8314, mean_absolute_error: 7.4305
batch 2500, time:0.147, loss: 468.8187, mean_absolute_error: 7.5585
batch 2600, time:0.149, loss: 586.8166, mean_absolute_error: 8.2029
batch 2700, time:0.127, loss: 398.6201, mean_absolute_error: 7.0871
batch 2800, time:0.140, loss: 473.4463, mean_absolute_error: 7.1948
008/30:  time: 1256.372 loss: 446.7498  mean_absolute_error: 7.3294,  val_loss: 461.5267,  val_mean_absolute_error: 7.4116
batch 100, time:0.131, loss: 429.4016, mean_absolute_error: 7.0504
batch 200, time:0.145, loss: 470.1723, mean_absolute_error: 7.6377
batch 300, time:0.141, loss: 373.2484, mean_absolute_error: 6.9602
batch 400, time:0.150, loss: 425.6171, mean_absolute_error: 7.0861
batch 500, time:0.138, loss: 437.4102, mean_absolute_error: 7.2583
batch 600, time:0.143, loss: 512.1780, mean_absolute_error: 7.6646
batch 700, time:0.151, loss: 394.9725, mean_absolute_error: 6.9383
batch 800, time:0.145, loss: 463.6247, mean_absolute_error: 7.4067
batch 900, time:0.119, loss: 529.4063, mean_absolute_error: 7.7489
batch 1000, time:0.135, loss: 440.4262, mean_absolute_error: 7.1252
batch 1100, time:0.142, loss: 460.3724, mean_absolute_error: 7.2134
batch 1200, time:0.140, loss: 430.7509, mean_absolute_error: 7.3382
batch 1300, time:0.141, loss: 476.4437, mean_absolute_error: 7.8535
batch 1400, time:0.133, loss: 569.2532, mean_absolute_error: 8.0065
batch 1500, time:0.150, loss: 396.1416, mean_absolute_error: 6.9071
batch 1600, time:0.144, loss: 452.0848, mean_absolute_error: 7.0902
batch 1700, time:0.146, loss: 441.7724, mean_absolute_error: 7.4820
batch 1800, time:0.125, loss: 525.8239, mean_absolute_error: 7.3728
batch 1900, time:0.144, loss: 379.8272, mean_absolute_error: 6.9825
batch 2000, time:0.111, loss: 445.8431, mean_absolute_error: 7.5377
batch 2100, time:0.149, loss: 481.8946, mean_absolute_error: 7.2984
batch 2200, time:0.142, loss: 385.6109, mean_absolute_error: 6.9668
batch 2300, time:0.106, loss: 427.7069, mean_absolute_error: 7.1822
batch 2400, time:0.144, loss: 486.4581, mean_absolute_error: 7.4773
batch 2500, time:0.144, loss: 412.5251, mean_absolute_error: 7.0398
batch 2600, time:0.145, loss: 397.9551, mean_absolute_error: 6.9817
batch 2700, time:0.147, loss: 400.9606, mean_absolute_error: 7.3135
batch 2800, time:0.140, loss: 485.8052, mean_absolute_error: 7.5828
009/30:  time: 1253.740 loss: 445.7070  mean_absolute_error: 7.3056,  val_loss: 445.4451,  val_mean_absolute_error: 7.2115
batch 100, time:0.158, loss: 472.9741, mean_absolute_error: 7.4279
batch 200, time:0.142, loss: 489.0434, mean_absolute_error: 7.3499
batch 300, time:0.145, loss: 466.7252, mean_absolute_error: 7.4553
batch 400, time:0.134, loss: 348.0485, mean_absolute_error: 6.6279
batch 500, time:0.145, loss: 459.2921, mean_absolute_error: 7.4009
batch 600, time:0.142, loss: 448.0817, mean_absolute_error: 7.2679
batch 700, time:0.143, loss: 404.4344, mean_absolute_error: 6.9646
batch 800, time:0.135, loss: 422.9382, mean_absolute_error: 7.7267
batch 900, time:0.140, loss: 395.9577, mean_absolute_error: 7.1479
batch 1000, time:0.142, loss: 408.0409, mean_absolute_error: 7.4603
batch 1100, time:0.140, loss: 468.7520, mean_absolute_error: 7.2851
batch 1200, time:0.146, loss: 461.8214, mean_absolute_error: 7.1558
batch 1300, time:0.147, loss: 476.0760, mean_absolute_error: 7.7733
batch 1400, time:0.154, loss: 451.4641, mean_absolute_error: 7.3124
batch 1500, time:0.141, loss: 507.0118, mean_absolute_error: 7.4003
batch 1600, time:0.136, loss: 395.1119, mean_absolute_error: 6.7359
batch 1700, time:0.142, loss: 521.4536, mean_absolute_error: 7.8169
batch 1800, time:0.141, loss: 410.3789, mean_absolute_error: 6.7314
batch 1900, time:0.145, loss: 388.2769, mean_absolute_error: 6.9912
batch 2000, time:0.147, loss: 462.9851, mean_absolute_error: 7.3562
batch 2100, time:0.140, loss: 414.3320, mean_absolute_error: 6.7776
batch 2200, time:0.133, loss: 516.1590, mean_absolute_error: 7.9958
batch 2300, time:0.146, loss: 429.0197, mean_absolute_error: 7.2561
batch 2400, time:0.143, loss: 464.9807, mean_absolute_error: 7.1610
batch 2500, time:0.148, loss: 450.7713, mean_absolute_error: 7.4005
batch 2600, time:0.120, loss: 380.0880, mean_absolute_error: 6.5746
batch 2700, time:0.143, loss: 408.3095, mean_absolute_error: 7.0302
batch 2800, time:0.148, loss: 458.4250, mean_absolute_error: 7.1199
010/30:  time: 1258.891 loss: 442.4170  mean_absolute_error: 7.2583,  val_loss: 446.7841,  val_mean_absolute_error: 7.1379
batch 100, time:0.144, loss: 437.4500, mean_absolute_error: 7.3656
batch 200, time:0.140, loss: 466.4833, mean_absolute_error: 7.2596
batch 300, time:0.133, loss: 321.1373, mean_absolute_error: 6.4892
batch 400, time:0.139, loss: 438.7607, mean_absolute_error: 7.3790
batch 500, time:0.146, loss: 412.2247, mean_absolute_error: 7.3745
batch 600, time:0.146, loss: 423.7216, mean_absolute_error: 7.4219
batch 700, time:0.137, loss: 411.4936, mean_absolute_error: 7.0890
batch 800, time:0.148, loss: 503.8573, mean_absolute_error: 7.5859
batch 900, time:0.137, loss: 522.6246, mean_absolute_error: 7.3290
batch 1000, time:0.089, loss: 438.6096, mean_absolute_error: 7.2593
batch 1100, time:0.148, loss: 413.6779, mean_absolute_error: 6.8381
batch 1200, time:0.148, loss: 424.9396, mean_absolute_error: 7.0832
batch 1300, time:0.155, loss: 512.2245, mean_absolute_error: 7.6485
batch 1400, time:0.142, loss: 454.1473, mean_absolute_error: 7.2438
batch 1500, time:0.136, loss: 500.3535, mean_absolute_error: 7.7178
batch 1600, time:0.133, loss: 443.3289, mean_absolute_error: 7.2801
batch 1700, time:0.140, loss: 567.7848, mean_absolute_error: 7.9301
batch 1800, time:0.150, loss: 437.9360, mean_absolute_error: 7.3827
batch 1900, time:0.136, loss: 505.4454, mean_absolute_error: 7.5741
batch 2000, time:0.137, loss: 453.9550, mean_absolute_error: 7.5161
batch 2100, time:0.147, loss: 437.2922, mean_absolute_error: 7.1967
batch 2200, time:0.143, loss: 467.5733, mean_absolute_error: 7.1415
batch 2300, time:0.145, loss: 466.7006, mean_absolute_error: 7.1856
batch 2400, time:0.145, loss: 318.1506, mean_absolute_error: 6.5139
batch 2500, time:0.144, loss: 428.1098, mean_absolute_error: 7.2569
batch 2600, time:0.138, loss: 373.6904, mean_absolute_error: 6.9624
batch 2700, time:0.151, loss: 514.0594, mean_absolute_error: 7.7152
batch 2800, time:0.137, loss: 439.1550, mean_absolute_error: 7.5081
011/30:  time: 1252.915 loss: 440.9494  mean_absolute_error: 7.2321,  val_loss: 457.3290,  val_mean_absolute_error: 7.2111
batch 100, time:0.147, loss: 470.7839, mean_absolute_error: 7.3172
batch 200, time:0.144, loss: 484.2502, mean_absolute_error: 7.4333
batch 300, time:0.157, loss: 495.2414, mean_absolute_error: 7.6516
batch 400, time:0.148, loss: 385.8027, mean_absolute_error: 7.3540
batch 500, time:0.140, loss: 494.4153, mean_absolute_error: 7.3446
batch 600, time:0.136, loss: 354.8122, mean_absolute_error: 6.7379
batch 700, time:0.144, loss: 489.7872, mean_absolute_error: 7.0732
batch 800, time:0.138, loss: 415.0707, mean_absolute_error: 7.0065
