
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 400, time:0.547, loss: 59.9737, mean_absolute_error: 3.0227
batch 500, time:0.554, loss: 78.1153, mean_absolute_error: 3.1250
batch 600, time:0.547, loss: 72.1022, mean_absolute_error: 2.9489
batch 700, time:0.561, loss: 61.3094, mean_absolute_error: 3.0046
batch 800, time:0.541, loss: 60.6667, mean_absolute_error: 2.7856
batch 900, time:0.551, loss: 50.5660, mean_absolute_error: 3.0094
batch 1000, time:0.554, loss: 46.8861, mean_absolute_error: 2.6676
batch 1100, time:0.540, loss: 60.2717, mean_absolute_error: 2.9119
batch 1200, time:0.564, loss: 62.7985, mean_absolute_error: 3.1529
batch 1300, time:0.552, loss: 48.6925, mean_absolute_error: 2.6607
batch 1400, time:0.554, loss: 56.7288, mean_absolute_error: 2.9415
batch 1500, time:0.553, loss: 55.5852, mean_absolute_error: 3.1016
batch 1600, time:0.547, loss: 57.3147, mean_absolute_error: 2.9637
batch 1700, time:0.559, loss: 55.2874, mean_absolute_error: 2.9553
batch 1800, time:0.552, loss: 53.0117, mean_absolute_error: 3.1573
batch 1900, time:0.528, loss: 62.1588, mean_absolute_error: 3.0253
batch 2000, time:0.542, loss: 62.7009, mean_absolute_error: 3.0640
batch 2100, time:0.533, loss: 74.0792, mean_absolute_error: 3.1285
batch 2200, time:0.522, loss: 62.2131, mean_absolute_error: 2.9702
batch 2300, time:0.549, loss: 66.7882, mean_absolute_error: 3.0775
batch 2400, time:0.551, loss: 66.9693, mean_absolute_error: 3.3403
batch 2500, time:0.521, loss: 63.4809, mean_absolute_error: 3.2229
batch 2600, time:0.540, loss: 65.1098, mean_absolute_error: 3.0406
batch 2700, time:0.540, loss: 68.8027, mean_absolute_error: 2.9019
batch 2800, time:0.546, loss: 85.8241, mean_absolute_error: 3.2851
batch 2900, time:0.547, loss: 48.8265, mean_absolute_error: 2.8347
batch 3000, time:0.550, loss: 77.7291, mean_absolute_error: 3.2527
batch 3100, time:0.548, loss: 60.1954, mean_absolute_error: 2.9525
batch 3200, time:0.531, loss: 73.2714, mean_absolute_error: 3.2732
batch 3300, time:0.547, loss: 49.9397, mean_absolute_error: 2.9648
batch 3400, time:0.550, loss: 64.1603, mean_absolute_error: 2.8212
batch 3500, time:0.550, loss: 59.3677, mean_absolute_error: 3.0389
batch 3600, time:0.545, loss: 64.8881, mean_absolute_error: 2.9600
batch 3700, time:0.539, loss: 56.0397, mean_absolute_error: 2.7586
batch 3800, time:0.556, loss: 53.8706, mean_absolute_error: 2.6539
batch 3900, time:0.547, loss: 52.8852, mean_absolute_error: 2.6528
batch 4000, time:0.547, loss: 54.8512, mean_absolute_error: 2.7547
batch 4100, time:0.548, loss: 67.4516, mean_absolute_error: 2.9162
batch 4200, time:0.543, loss: 67.3257, mean_absolute_error: 3.1758
batch 4300, time:0.514, loss: 53.8249, mean_absolute_error: 2.6852
batch 4400, time:0.558, loss: 69.5411, mean_absolute_error: 2.9905
